driver_id,coef_rapm,target_definition,alpha,decay,season,round,race_name,race_order,n_train_rows,n_train_races
stroll,-0.700024001771479,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
vandoorne,-1.0131249754612692,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
vettel,1.2892517343619088,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
alonso,0.6179948049478704,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
bottas,0.8134583798032761,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
brendon_hartley,-1.0951010110769575,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
ericsson,-0.9677529067214536,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
gasly,-0.23666947202089456,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
grosjean,-0.8840313761321276,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
hamilton,1.489095658966754,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
hulkenberg,0.37741202417857905,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
kevin_magnussen,0.15328740141182504,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
leclerc,-0.4450535113788153,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
max_verstappen,0.920723267925891,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
ocon,0.05976370510532288,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
perez,-0.5762730509531147,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
raikkonen,1.0779136005312564,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
ricciardo,1.1137360583238949,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
sainz,-0.24006845991538092,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
sirotkin,-1.5605275713644777,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
stroll,-0.8439825327288386,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
vandoorne,-1.042973408302297,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
vettel,1.269048399399686,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
alonso,0.620063693618583,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
bottas,0.8246810627419612,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
brendon_hartley,-1.0553122965070947,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
ericsson,-0.9686798069930279,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
gasly,-0.38930427454279504,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
grosjean,-0.8807828854474924,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
hamilton,1.5552501596548673,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
hulkenberg,0.4548118977078254,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
kevin_magnussen,0.13596911416061874,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
leclerc,-0.4550165030943582,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
max_verstappen,0.8952373188748679,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
