finish_position,season,round,grid_position_zero_flag,compound_ordinal,circuito_albert_park,circuito_americas,circuito_bahrain,circuito_bahrain_outer,circuito_baku,circuito_catalunya,circuito_hockenheim,circuito_hungaroring,circuito_imola,circuito_interlagos,circuito_istanbul,circuito_jeddah,circuito_las_vegas,circuito_losail,circuito_marina_bay,circuito_miami,circuito_monaco,circuito_monza,circuito_mugello,circuito_nurburgring,circuito_portimao,circuito_red_bull_ring,circuito_ricard,circuito_rodriguez,circuito_shanghai,circuito_silverstone,circuito_sochi,circuito_spa,circuito_suzuka,circuito_villeneuve,circuito_yas_marina,circuito_zandvoort,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_force_india,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_racing_point,constructor_rb,constructor_red_bull,constructor_renault,constructor_sauber,constructor_toro_rosso,constructor_williams,wet_compound_flag,corrida_chuva_flag,outlier_flag,status_falha_mecanica_flag,outlier_legitimo_flag,outlier_revisao_flag,outlier_espurio_flag,fastf1_laps_count_zscore,fastf1_avg_lap_time_zscore,fastf1_best_lap_time_zscore,fastf1_avg_sector1_zscore,fastf1_avg_sector2_zscore,fastf1_avg_sector3_zscore,fastf1_max_tyre_life_zscore,fastf1_stints_count_zscore,fastf1_pit_in_count_zscore,fastf1_pit_out_count_zscore,grid_position_minmax,laps_minmax,grid_penalty,altitude_m,corners,track_complexity,weather_impact_factor,safety_car_flag,tire_compound_start,season_factor,avg_pit_stops_circuit,avg_pit_stops_circuit_cold_start_flag,outlier_reclassificado_pos_contexto_flag,outlier_reclassificado_nao_feature_flag,incident_rate_hist,incident_rate_hist_norm,race_order,driver_coef_rapm,constructor_coef_rapm,recent_form_5,recent_form_3,recent_form_cold_start_flag,driver_experience,driver_wins_total,constructor_wins_total,driver_dnf_rate,constructor_dnf_rate,driver_constructor_synergy
6,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.406596259183396,0.2825367224991701,0.3398073456326855,0.4244522015953272,0.7137369868266773,-0.6335309024930593,-0.9271894480932524,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.3,0.6511627906976744,-1,7,15,0.3175015016222171,0.1919403183786397,1,0,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,0.1054679748122329,-0.0617911766387444,7.0,7.0,0,1,0.0,0.0,0.0,0.0,-7.0
7,2018,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4522641551507728,0.2838333168806268,0.3100358055582747,0.4519306865938307,0.6865112528829213,-0.6273363349217037,-0.8291407566659286,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.6,0.6395348837209303,0,7,15,0.3175015016222171,0.1919403183786397,1,3,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,0.2663071413628663,0.1689781143747855,5.0,5.0,0,1,0.0,0.0,0.0,0.0,-5.0
8,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4522641551507728,0.2941885288581853,0.3674907015335406,0.469080441744221,0.6851794415275009,-0.620173639109972,-0.5349946823839565,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.65,0.6395348837209303,0,7,15,0.3175015016222171,0.1919403183786397,1,0,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,-0.0973290269880808,0.1689781143747855,9.0,9.0,0,1,0.0,0.0,0.0,0.0,-9.0
9,2018,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.4522641551507728,0.2989742605028923,0.3652235301451086,0.4189233225760208,0.7265047644677242,-0.6119887643323819,-0.0447512252473365,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.8,0.6395348837209303,0,7,15,0.3175015016222171,0.1919403183786397,1,3,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,0.0,-0.4084596913145881,0.0,0.0,1,0,0.0,0.0,0.0,0.5,0.0
10,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4522641551507728,0.3055999097575609,0.3622404098971718,0.4447911627153705,0.7327873451590573,-0.6213942994284243,-1.2213355223752245,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.35,0.6395348837209303,-1,7,15,0.3175015016222171,0.1919403183786397,1,0,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,-0.3071194003767705,-0.5233297586658042,12.0,12.0,0,1,0.0,0.0,0.0,0.0,-12.0
11,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.4522641551507728,0.3127563460548199,0.3915943131368711,0.4477722565087269,0.7335207118694768,-0.6135964632883921,0.6415896147439314,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.45,0.6395348837209303,0,7,15,0.3175015016222171,0.1919403183786397,1,0,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,-0.1672591514509774,-0.0617911766387444,10.0,10.0,0,1,0.0,0.0,0.0,0.0,-10.0
12,2018,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.4522641551507728,0.3184533882431201,0.3631353459715529,0.4672528375261011,0.7281194769280533,-0.6131101839745375,-0.2408486081019845,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.9,0.6395348837209303,0,7,15,0.3175015016222171,0.1919403183786397,1,3,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,-0.4084596913145881,-0.4084596913145881,13.0,13.0,0,1,0.0,0.0,0.0,0.5,-13.0
13,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4522641551507728,0.3222056526521523,0.3031746289880191,0.4995135298339428,0.7094197138935425,-0.6098947860625166,-1.6135302880845206,1.2177373943419831,0.8092266879066312,0.7604815977566157,0.75,0.6395348837209303,0,7,15,0.3175015016222171,0.1919403183786397,1,0,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1.0,0.0
14,2018,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.4979320511181496,0.3151840113016846,0.3755451262029707,0.4190659452621942,0.7469432812162539,-0.6002569542723258,-0.7310920652386046,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.95,0.6395348837209303,0,7,15,0.3175015016222171,0.1919403183786397,1,3,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,-0.4918024227585911,-0.4918024227585911,14.0,14.0,0,1,0.0,0.0,0.0,0.5,-14.0
15,2018,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.4522641551507728,0.3445062756696981,0.3336024555169766,0.4924802738392972,0.7537307315717339,-0.6043894095449437,-1.2213355223752245,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.85,0.6395348837209303,0,7,15,0.3175015016222171,0.1919403183786397,1,3,2018,1.2,1,0,0,0.7248322147651006,0.7248322140402683,2,0.0,-0.4918024227585911,0.0,0.0,1,0,0.0,0.0,0.0,0.5,0.0
