season,round,race_name,driver_id,constructor_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,fastf1_laps_count,fastf1_avg_lap_time,fastf1_best_lap_time,fastf1_avg_sector1,fastf1_avg_sector2,fastf1_avg_sector3,fastf1_first_compound,fastf1_main_compound,fastf1_max_tyre_life,fastf1_stints_count,fastf1_pit_in_count,fastf1_pit_out_count
2018,3,Chinese Grand Prix,kevin_magnussen,haas,11,10,Finished,1.0,56,kevin_magnussen_2018_3,0,56.0,103.14239285714287,98.152,27.538654545454545,30.90725,44.63223214285715,SOFT,SOFT,49.0,2.0,1.0,1.0
2018,3,Chinese Grand Prix,ocon,force_india,12,11,Finished,0.0,56,ocon_2018_3,0,56.0,103.2219642857143,97.985,27.588018181818178,31.095125,44.47246428571429,SOFT,SOFT,45.0,3.0,2.0,2.0
2018,3,Chinese Grand Prix,perez,force_india,8,12,Finished,0.0,56,perez_2018_3,0,56.0,103.23401785714285,97.673,27.633054545454545,31.186035714285712,44.36341071428571,ULTRASOFT,ULTRASOFT,48.0,3.0,2.0,2.0
2018,3,Chinese Grand Prix,vandoorne,mclaren,14,13,Finished,0.0,56,vandoorne_2018_3,0,56.0,103.31701785714286,98.137,27.481018181818182,31.04782142857143,44.71232142857143,SOFT,SOFT,45.0,2.0,1.0,1.0
2018,3,Chinese Grand Prix,stroll,williams,18,14,Finished,0.0,56,stroll_2018_3,0,56.0,103.42625,98.5,27.537127272727272,31.092303571428573,44.725160714285714,SOFT,SOFT,45.0,2.0,1.0,1.0
2018,3,Chinese Grand Prix,sirotkin,williams,16,15,Finished,0.0,56,sirotkin_2018_3,0,56.0,103.475375,98.624,27.942854545454544,30.954089285714286,44.5075,SOFT,SOFT,45.0,3.0,2.0,2.0
2018,3,Chinese Grand Prix,ericsson,sauber,20,16,Finished,0.0,56,ericsson_2018_3,0,56.0,101.60718518518517,98.386,27.70810909090909,30.94716071428571,44.81558928571429,SOFT,SOFT,45.0,2.0,1.0,1.0
2018,3,Chinese Grand Prix,grosjean,haas,10,17,Finished,0.0,56,grosjean_2018_3,0,56.0,103.60135714285715,97.41,27.964836363636365,30.924196428571427,44.66491071428572,ULTRASOFT,ULTRASOFT,48.0,2.0,2.0,2.0
2018,3,Chinese Grand Prix,gasly,toro_rosso,17,18,Finished,0.0,56,gasly_2018_3,0,56.0,102.36129090909091,98.367,27.962127272727272,31.007875000000002,44.38332142857143,MEDIUM,MEDIUM,45.0,3.0,2.0,2.0
2018,3,Chinese Grand Prix,leclerc,sauber,19,19,Finished,0.0,56,leclerc_2018_3,0,56.0,101.8797037037037,98.808,27.982345454545456,31.026946428571428,44.80948214285714,SOFT,SOFT,45.0,2.0,1.0,1.0
2018,3,Chinese Grand Prix,brendon_hartley,toro_rosso,15,20,Collision damage,0.0,51,brendon_hartley_2018_3,0,51.0,102.23510204081633,99.376,28.12414,30.998686274509804,45.209117647058825,ULTRASOFT,ULTRASOFT,45.0,2.0,3.0,2.0
2018,4,Azerbaijan Grand Prix,hamilton,mercedes,2,1,Finished,25.0,51,hamilton_2018_4,0,51.0,109.16035,105.412,42.78336,48.73552941176471,30.524450980392157,SUPERSOFT,SUPERSOFT,26.0,3.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,raikkonen,ferrari,6,2,Finished,18.0,51,raikkonen_2018_4,0,51.0,111.07514634146342,106.523,42.873999999999995,49.07094117647059,30.0691568627451,SOFT,ULTRASOFT,49.0,2.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,perez,force_india,8,3,Finished,15.0,51,perez_2018_4,0,51.0,111.08578048780487,106.206,43.0824,49.31372549019608,29.618529411764708,ULTRASOFT,SOFT,38.0,3.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,vettel,ferrari,1,4,Finished,12.0,51,vettel_2018_4,0,51.0,108.9749,105.53,42.6808,48.67082352941176,30.83456862745098,SUPERSOFT,SUPERSOFT,32.0,3.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,sainz,renault,9,5,Finished,10.0,51,sainz_2018_4,0,51.0,111.4448292682927,106.856,42.908159999999995,48.9801568627451,30.176019607843138,ULTRASOFT,SOFT,25.0,3.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,leclerc,sauber,13,6,Finished,8.0,51,leclerc_2018_4,0,51.0,111.90134146341464,107.403,42.863224489795925,49.173450980392154,30.125215686274508,SUPERSOFT,SUPERSOFT,23.0,3.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,alonso,mclaren,12,7,Finished,6.0,51,alonso_2018_4,0,51.0,112.77453658536587,107.449,42.83224,49.15513725490196,30.0621568627451,SOFT,SOFT,39.0,2.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,stroll,williams,10,8,Finished,4.0,51,stroll_2018_4,0,51.0,111.97097560975611,106.815,42.98808,49.10988235294117,30.095666666666666,SUPERSOFT,SUPERSOFT,22.0,3.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,vandoorne,mclaren,16,9,Finished,2.0,51,vandoorne_2018_4,0,51.0,114.66486046511628,107.666,43.11262,48.86394117647059,30.19147058823529,SUPERSOFT,ULTRASOFT,16.0,5.0,4.0,4.0
2018,4,Azerbaijan Grand Prix,brendon_hartley,toro_rosso,19,10,Finished,1.0,51,brendon_hartley_2018_4,0,51.0,114.05440476190476,108.288,42.42285714285714,49.68066666666667,30.093098039215686,ULTRASOFT,ULTRASOFT,21.0,3.0,3.0,3.0
2018,4,Azerbaijan Grand Prix,ericsson,sauber,18,11,Finished,0.0,51,ericsson_2018_4,0,51.0,118.32676086956522,107.925,43.780860000000004,48.515647058823525,29.805960784313726,SOFT,ULTRASOFT,18.0,4.0,4.0,4.0
2018,4,Azerbaijan Grand Prix,gasly,toro_rosso,17,12,Finished,0.0,51,gasly_2018_4,0,51.0,113.91669047619048,108.035,42.844139999999996,49.40607843137255,30.147019607843138,ULTRASOFT,SOFT,27.0,3.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,kevin_magnussen,haas,15,13,Finished,0.0,51,kevin_magnussen_2018_4,0,51.0,115.56711627906978,108.155,42.87132653061225,49.44878431372549,30.071176470588238,SOFT,SOFT,38.0,2.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,bottas,mercedes,3,14,Puncture,0.0,48,bottas_2018_4,0,49.0,108.56137837837838,105.149,43.054744680851066,49.361916666666666,30.5354375,SUPERSOFT,SUPERSOFT,43.0,2.0,1.0,1.0
2018,4,Azerbaijan Grand Prix,grosjean,haas,20,15,Accident,0.0,42,grosjean_2018_4,0,43.0,111.81013513513514,106.88,41.813121951219514,47.217,28.88252380952381,SOFT,SUPERSOFT,38.0,3.0,2.0,2.0
2018,4,Azerbaijan Grand Prix,max_verstappen,red_bull,5,16,Collision,0.0,39,max_verstappen_2018_4,0,40.0,109.74674285714286,105.771,41.14613157894737,45.87646153846154,28.684717948717946,SUPERSOFT,SUPERSOFT,41.0,2.0,1.0,1.0
2018,4,Azerbaijan Grand Prix,ricciardo,red_bull,4,17,Collision,0.0,39,ricciardo_2018_4,0,40.0,109.72739999999999,105.419,41.244815789473684,46.04282051282051,28.451641025641027,SUPERSOFT,SUPERSOFT,40.0,2.0,1.0,1.0
2018,4,Azerbaijan Grand Prix,hulkenberg,renault,14,18,Accident,0.0,10,hulkenberg_2018_4,0,11.0,119.44633333333333,108.867,48.846666666666664,55.011199999999995,35.033100000000005,ULTRASOFT,ULTRASOFT,13.0,1.0,0.0,0.0
2018,4,Azerbaijan Grand Prix,ocon,force_india,7,19,Collision,0.0,0,ocon_2018_4,0,1.0,,,,,,ULTRASOFT,ULTRASOFT,4.0,1.0,0.0,0.0
2018,4,Azerbaijan Grand Prix,sirotkin,williams,11,20,Collision,0.0,0,sirotkin_2018_4,0,1.0,,,,,,SUPERSOFT,SUPERSOFT,1.0,1.0,0.0,0.0
2018,5,Spanish Grand Prix,hamilton,mercedes,1,1,Finished,25.0,66,hamilton_2018_5,0,66.0,85.75664615384615,79.133,25.406169230769233,32.23762121212121,29.15519696969697,SOFT,MEDIUM,41.0,2.0,1.0,1.0
2018,5,Spanish Grand Prix,bottas,mercedes,2,2,Finished,18.0,66,bottas_2018_5,0,66.0,86.06884615384615,79.478,25.414646153846153,32.344439393939396,29.333954545454546,SOFT,MEDIUM,47.0,2.0,1.0,1.0
2018,5,Spanish Grand Prix,max_verstappen,red_bull,5,3,Finished,15.0,66,max_verstappen_2018_5,0,66.0,86.16466153846153,79.422,25.679615384615385,32.52140909090909,28.973757575757578,SOFT,SOFT,36.0,2.0,1.0,1.0
2018,5,Spanish Grand Prix,vettel,ferrari,3,4,Finished,12.0,66,vettel_2018_5,0,66.0,86.17709230769232,79.128,25.77272307692308,32.30754545454545,29.13039393939394,SOFT,MEDIUM,25.0,3.0,2.0,2.0
2018,5,Spanish Grand Prix,ricciardo,red_bull,6,5,Finished,10.0,66,ricciardo_2018_5,0,66.0,86.51683076923076,78.441,25.82636923076923,32.58257575757575,29.113545454545452,SOFT,MEDIUM,35.0,2.0,1.0,1.0
2018,5,Spanish Grand Prix,kevin_magnussen,haas,7,6,+1 Lap,8.0,65,kevin_magnussen_2018_5,0,65.0,87.379828125,80.246,26.079375,32.92570769230769,29.364984615384614,SOFT,MEDIUM,35.0,2.0,1.0,1.0
2018,5,Spanish Grand Prix,sainz,renault,9,7,+1 Lap,6.0,65,sainz_2018_5,0,65.0,87.95315625,81.324,26.078,33.21523076923077,29.633892307692307,SOFT,MEDIUM,40.0,2.0,1.0,1.0
2018,5,Spanish Grand Prix,alonso,mclaren,8,8,+1 Lap,4.0,65,alonso_2018_5,0,65.0,88.0100625,80.727,25.868234375,33.26364615384615,29.81003076923077,SUPERSOFT,MEDIUM,44.0,2.0,1.0,1.0
2018,5,Spanish Grand Prix,perez,force_india,15,9,+2 Laps,2.0,64,perez_2018_5,0,64.0,88.51044444444445,81.128,26.09631746031746,33.5788125,29.754921875,SOFT,SOFT,30.0,3.0,2.0,2.0
2018,5,Spanish Grand Prix,leclerc,sauber,14,10,+2 Laps,1.0,64,leclerc_2018_5,0,64.0,88.55585714285715,82.122,26.081190476190475,33.55478125,29.910390625,SOFT,MEDIUM,44.0,2.0,1.0,1.0
2018,5,Spanish Grand Prix,stroll,williams,18,11,+2 Laps,0.0,64,stroll_2018_5,0,64.0,88.66655555555556,82.095,26.063650793650794,33.66753125,29.867984375,SOFT,MEDIUM,44.0,2.0,1.0,1.0
2018,5,Spanish Grand Prix,brendon_hartley,toro_rosso,20,12,+2 Laps,0.0,64,brendon_hartley_2018_5,0,64.0,88.85739682539682,81.439,26.110206349206347,33.5483125,30.02559375,SOFT,MEDIUM,31.0,3.0,2.0,2.0
2018,5,Spanish Grand Prix,ericsson,sauber,17,13,+2 Laps,0.0,64,ericsson_2018_5,0,64.0,88.94446031746033,82.487,26.12011111111111,33.591578125,30.0056875,MEDIUM,MEDIUM,34.0,2.0,1.0,1.0
