RaceID,season,round,race_name,driver_id,constructor_id,finish_position,is_dnf,safety_car_flag,qualifying_position,constructor_coef_rapm,recent_form_5,driver_constructor_synergy,constructor_wins_total,driver_coef_rapm,track_complexity,tire_compound_start,season_factor,avg_pit_stops_circuit,constructor_dnf_rate,grid_penalty,altitude_m
hamilton_2026_2,2026,2,Chinese Grand Prix,hamilton,ferrari,3.0,False,1,3,3.163895217348746,8.8,-6.95,19.0,0.6714518084898562,0.4249044702495889,2.0,2026,1.2,0.0406976744186046,0,7.0
leclerc_2026_2,2026,2,Chinese Grand Prix,leclerc,ferrari,4.0,False,1,4,3.163895217348746,4.933333333333334,-4.792307692307692,19.0,2.0211800966873064,0.4249044702495889,2.0,2026,1.2,0.0406976744186046,0,7.0
bearman_2026_2,2026,2,Chinese Grand Prix,bearman,haas,5.0,False,1,10,-2.7089837511112766,7.533333333333333,-10.681818181818182,0.0,1.463448432057158,0.4249044702495889,2.0,2026,1.2,0.0494186046511627,0,7.0
gasly_2026_2,2026,2,Chinese Grand Prix,gasly,alpine,6.0,False,1,7,-1.707451681972125,14.066666666666666,-11.59322033898305,1.0,0.1835621517783473,0.4249044702495889,2.0,2026,1.2,0.0486725663716814,0,7.0
lawson_2026_2,2026,2,Chinese Grand Prix,lawson,rb,7.0,False,1,14,-0.3976997788432501,10.6,-11.409090909090908,0.0,-0.7265870732436397,0.4249044702495889,2.0,2026,1.2,0.0,0,7.0
hadjar_2026_2,2026,2,Chinese Grand Prix,hadjar,rb,8.0,False,1,9,-0.3976997788432501,9.6,-10.55,0.0,0.0056392664574038,0.4249044702495889,1.0,2026,1.2,0.0,0,7.0
sainz_2026_2,2026,2,Chinese Grand Prix,sainz,williams,9.0,False,1,17,-2.464089130575294,6.466666666666667,-10.27777777777778,0.0,1.7430581562085834,0.4249044702495889,2.0,2026,1.2,0.0495626822157434,0,7.0
colapinto_2026_2,2026,2,Chinese Grand Prix,colapinto,alpine,10.0,False,1,12,-1.707451681972125,14.933333333333334,-15.5625,1.0,-1.7238800074863967,0.4249044702495889,3.0,2026,1.2,0.0486725663716814,0,7.0
hulkenberg_2026_2,2026,2,Chinese Grand Prix,hulkenberg,sauber,11.0,False,1,11,-2.9272066045437106,10.066666666666666,-11.526315789473683,0.0,0.7834122337237496,0.4249044702495889,3.0,2026,1.2,0.0367647058823529,0,7.0
driver_41_2026_2026_2,2026,2,Chinese Grand Prix,driver_41_2026,unknown_2026,12.0,False,1,15,0.0,0.0,0.0,0.0,0.0,0.4249044702495889,3.0,2026,1.2,0.0,0,7.0
