season,round,race_name,driver_id,constructor_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,status_normalizado,dnf_categoria,is_dnf,dnf_flag,dnf_driver_flag,dnf_car_flag,dnf_other_flag
2018,5,Spanish Grand Prix,leclerc,sauber,14,10,+2 Laps,1.0,64,leclerc_2018_5,0,+2 laps,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,stroll,williams,18,11,+2 Laps,0.0,64,stroll_2018_5,0,+2 laps,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,brendon_hartley,toro_rosso,20,12,+2 Laps,0.0,64,brendon_hartley_2018_5,0,+2 laps,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,ericsson,sauber,17,13,+2 Laps,0.0,64,ericsson_2018_5,0,+2 laps,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,sirotkin,williams,19,14,+3 Laps,0.0,63,sirotkin_2018_5,0,+3 laps,classificado,False,0,0,0,0
2018,5,Spanish Grand Prix,vandoorne,mclaren,11,15,Gearbox,0.0,45,vandoorne_2018_5,0,gearbox,dnf_carro,True,1,0,1,0
2018,5,Spanish Grand Prix,ocon,force_india,13,16,Oil leak,0.0,38,ocon_2018_5,0,oil leak,dnf_carro,True,1,0,1,0
2018,5,Spanish Grand Prix,raikkonen,ferrari,4,17,Turbo,0.0,25,raikkonen_2018_5,0,turbo,dnf_carro,True,1,0,1,0
2018,5,Spanish Grand Prix,grosjean,haas,10,18,Collision,0.0,0,grosjean_2018_5,0,collision,dnf_piloto,True,1,1,0,0
2018,5,Spanish Grand Prix,gasly,toro_rosso,12,19,Collision,0.0,0,gasly_2018_5,0,collision,dnf_piloto,True,1,1,0,0
2018,5,Spanish Grand Prix,hulkenberg,renault,16,20,Collision,0.0,0,hulkenberg_2018_5,0,collision,dnf_piloto,True,1,1,0,0
2018,6,Monaco Grand Prix,ricciardo,red_bull,1,1,Finished,25.0,78,ricciardo_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,vettel,ferrari,2,2,Finished,18.0,78,vettel_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,hamilton,mercedes,3,3,Finished,15.0,78,hamilton_2018_6,0,finished,classificado,False,0,0,0,0
