RaceID,season,round,driver_id,constructor_id,finish_position
raikkonen_2018_10,2018,10,raikkonen,ferrari,3
bottas_2018_10,2018,10,bottas,mercedes,4
ricciardo_2018_10,2018,10,ricciardo,red_bull,5
hulkenberg_2018_10,2018,10,hulkenberg,renault,6
ocon_2018_10,2018,10,ocon,force_india,7
alonso_2018_10,2018,10,alonso,mclaren,8
kevin_magnussen_2018_10,2018,10,kevin_magnussen,haas,9
perez_2018_10,2018,10,perez,force_india,10
vandoorne_2018_10,2018,10,vandoorne,mclaren,11
stroll_2018_10,2018,10,stroll,williams,12
gasly_2018_10,2018,10,gasly,toro_rosso,13
sirotkin_2018_10,2018,10,sirotkin,williams,14
hamilton_2018_11,2018,11,hamilton,mercedes,1
bottas_2018_11,2018,11,bottas,mercedes,2
raikkonen_2018_11,2018,11,raikkonen,ferrari,3
max_verstappen_2018_11,2018,11,max_verstappen,red_bull,4
hulkenberg_2018_11,2018,11,hulkenberg,renault,5
grosjean_2018_11,2018,11,grosjean,haas,6
perez_2018_11,2018,11,perez,force_india,7
ocon_2018_11,2018,11,ocon,force_india,8
ericsson_2018_11,2018,11,ericsson,sauber,9
brendon_hartley_2018_11,2018,11,brendon_hartley,toro_rosso,10
kevin_magnussen_2018_11,2018,11,kevin_magnussen,haas,11
sainz_2018_11,2018,11,sainz,renault,12
vandoorne_2018_11,2018,11,vandoorne,mclaren,13
gasly_2018_11,2018,11,gasly,toro_rosso,14
leclerc_2018_11,2018,11,leclerc,sauber,15
hamilton_2018_12,2018,12,hamilton,mercedes,1
vettel_2018_12,2018,12,vettel,ferrari,2
raikkonen_2018_12,2018,12,raikkonen,ferrari,3
ricciardo_2018_12,2018,12,ricciardo,red_bull,4
bottas_2018_12,2018,12,bottas,mercedes,5
gasly_2018_12,2018,12,gasly,toro_rosso,6
kevin_magnussen_2018_12,2018,12,kevin_magnussen,haas,7
alonso_2018_12,2018,12,alonso,mclaren,8
sainz_2018_12,2018,12,sainz,renault,9
grosjean_2018_12,2018,12,grosjean,haas,10
brendon_hartley_2018_12,2018,12,brendon_hartley,toro_rosso,11
hulkenberg_2018_12,2018,12,hulkenberg,renault,12
ocon_2018_12,2018,12,ocon,force_india,13
perez_2018_12,2018,12,perez,force_india,14
ericsson_2018_12,2018,12,ericsson,sauber,15
sirotkin_2018_12,2018,12,sirotkin,williams,16
stroll_2018_12,2018,12,stroll,williams,17
vettel_2018_13,2018,13,vettel,ferrari,1
hamilton_2018_13,2018,13,hamilton,mercedes,2
max_verstappen_2018_13,2018,13,max_verstappen,red_bull,3
bottas_2018_13,2018,13,bottas,mercedes,4
perez_2018_13,2018,13,perez,force_india,5
ocon_2018_13,2018,13,ocon,force_india,6
grosjean_2018_13,2018,13,grosjean,haas,7
kevin_magnussen_2018_13,2018,13,kevin_magnussen,haas,8
gasly_2018_13,2018,13,gasly,toro_rosso,9
ericsson_2018_13,2018,13,ericsson,sauber,10
sainz_2018_13,2018,13,sainz,renault,11
sirotkin_2018_13,2018,13,sirotkin,williams,12
stroll_2018_13,2018,13,stroll,williams,13
brendon_hartley_2018_13,2018,13,brendon_hartley,toro_rosso,14
vandoorne_2018_13,2018,13,vandoorne,mclaren,15
hamilton_2018_14,2018,14,hamilton,mercedes,1
raikkonen_2018_14,2018,14,raikkonen,ferrari,2
bottas_2018_14,2018,14,bottas,mercedes,3
vettel_2018_14,2018,14,vettel,ferrari,4
