season,round,RaceID,race_name,driver_id,constructor_id,race_order,constructor_coef_rapm,rapm_cold_start_flag,target_definition,alpha,decay,decay_unit,coefficient_status,n_train_rows,n_train_races
2018,8,ricciardo_2018_8,French Grand Prix,ricciardo,red_bull,8,1.847935811484022,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,sainz_2018_8,French Grand Prix,sainz,renault,8,0.40164790599250677,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,sirotkin_2018_8,French Grand Prix,sirotkin,williams,8,-2.243282337951599,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,vandoorne_2018_8,French Grand Prix,vandoorne,mclaren,8,-0.23571878887197403,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,8,vettel_2018_8,French Grand Prix,vettel,ferrari,8,2.3273385240124336,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,112,7
2018,9,alonso_2018_9,Austrian Grand Prix,alonso,mclaren,9,-0.31996839307575137,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,ericsson_2018_9,Austrian Grand Prix,ericsson,sauber,9,-1.496036582956041,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,gasly_2018_9,Austrian Grand Prix,gasly,toro_rosso,9,-1.3250335523250718,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,grosjean_2018_9,Austrian Grand Prix,grosjean,haas,9,-1.1132339520535344,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,kevin_magnussen_2018_9,Austrian Grand Prix,kevin_magnussen,haas,9,-1.1132339520535344,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,leclerc_2018_9,Austrian Grand Prix,leclerc,sauber,9,-1.496036582956041,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,max_verstappen_2018_9,Austrian Grand Prix,max_verstappen,red_bull,9,2.044619452828855,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,ocon_2018_9,Austrian Grand Prix,ocon,force_india,9,-0.7199707598401681,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,perez_2018_9,Austrian Grand Prix,perez,force_india,9,-0.7199707598401681,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,raikkonen_2018_9,Austrian Grand Prix,raikkonen,ferrari,9,2.3973842551818234,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,sainz_2018_9,Austrian Grand Prix,sainz,renault,9,0.35919565927677205,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,sirotkin_2018_9,Austrian Grand Prix,sirotkin,williams,9,-2.34824994165789,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,stroll_2018_9,Austrian Grand Prix,stroll,williams,9,-2.34824994165789,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,9,vettel_2018_9,Austrian Grand Prix,vettel,ferrari,9,2.3973842551818234,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,127,8
2018,10,alonso_2018_10,British Grand Prix,alonso,mclaren,10,-0.3877332066494587,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,141,9
2018,10,bottas_2018_10,British Grand Prix,bottas,mercedes,10,2.4404058349093614,0,-finish_position,10.0,0.75,season,estimado_historico_anterior,141,9
