season,round,RaceID,driver_id,constructor_id,race_name,circuit_id,finish_position
2018,7,perez_2018_7,perez,force_india,Canadian Grand Prix,villeneuve,14
2018,7,ericsson_2018_7,ericsson,sauber,Canadian Grand Prix,villeneuve,15
2018,7,vandoorne_2018_7,vandoorne,mclaren,Canadian Grand Prix,villeneuve,16
2018,7,sirotkin_2018_7,sirotkin,williams,Canadian Grand Prix,villeneuve,17
2018,8,hamilton_2018_8,hamilton,mercedes,French Grand Prix,ricard,1
2018,8,max_verstappen_2018_8,max_verstappen,red_bull,French Grand Prix,ricard,2
2018,8,raikkonen_2018_8,raikkonen,ferrari,French Grand Prix,ricard,3
2018,8,ricciardo_2018_8,ricciardo,red_bull,French Grand Prix,ricard,4
2018,8,vettel_2018_8,vettel,ferrari,French Grand Prix,ricard,5
2018,8,kevin_magnussen_2018_8,kevin_magnussen,haas,French Grand Prix,ricard,6
2018,8,bottas_2018_8,bottas,mercedes,French Grand Prix,ricard,7
2018,8,sainz_2018_8,sainz,renault,French Grand Prix,ricard,8
2018,8,hulkenberg_2018_8,hulkenberg,renault,French Grand Prix,ricard,9
2018,8,leclerc_2018_8,leclerc,sauber,French Grand Prix,ricard,10
2018,8,grosjean_2018_8,grosjean,haas,French Grand Prix,ricard,11
2018,8,vandoorne_2018_8,vandoorne,mclaren,French Grand Prix,ricard,12
2018,8,ericsson_2018_8,ericsson,sauber,French Grand Prix,ricard,13
2018,8,brendon_hartley_2018_8,brendon_hartley,toro_rosso,French Grand Prix,ricard,14
2018,8,sirotkin_2018_8,sirotkin,williams,French Grand Prix,ricard,15
2018,9,max_verstappen_2018_9,max_verstappen,red_bull,Austrian Grand Prix,red_bull_ring,1
2018,9,raikkonen_2018_9,raikkonen,ferrari,Austrian Grand Prix,red_bull_ring,2
2018,9,vettel_2018_9,vettel,ferrari,Austrian Grand Prix,red_bull_ring,3
2018,9,grosjean_2018_9,grosjean,haas,Austrian Grand Prix,red_bull_ring,4
2018,9,kevin_magnussen_2018_9,kevin_magnussen,haas,Austrian Grand Prix,red_bull_ring,5
2018,9,ocon_2018_9,ocon,force_india,Austrian Grand Prix,red_bull_ring,6
2018,9,perez_2018_9,perez,force_india,Austrian Grand Prix,red_bull_ring,7
2018,9,alonso_2018_9,alonso,mclaren,Austrian Grand Prix,red_bull_ring,8
2018,9,leclerc_2018_9,leclerc,sauber,Austrian Grand Prix,red_bull_ring,9
2018,9,ericsson_2018_9,ericsson,sauber,Austrian Grand Prix,red_bull_ring,10
2018,9,gasly_2018_9,gasly,toro_rosso,Austrian Grand Prix,red_bull_ring,11
2018,9,sainz_2018_9,sainz,renault,Austrian Grand Prix,red_bull_ring,12
2018,9,sirotkin_2018_9,sirotkin,williams,Austrian Grand Prix,red_bull_ring,13
2018,9,stroll_2018_9,stroll,williams,Austrian Grand Prix,red_bull_ring,14
2018,10,vettel_2018_10,vettel,ferrari,British Grand Prix,silverstone,1
2018,10,hamilton_2018_10,hamilton,mercedes,British Grand Prix,silverstone,2
2018,10,raikkonen_2018_10,raikkonen,ferrari,British Grand Prix,silverstone,3
2018,10,bottas_2018_10,bottas,mercedes,British Grand Prix,silverstone,4
2018,10,ricciardo_2018_10,ricciardo,red_bull,British Grand Prix,silverstone,5
2018,10,hulkenberg_2018_10,hulkenberg,renault,British Grand Prix,silverstone,6
2018,10,ocon_2018_10,ocon,force_india,British Grand Prix,silverstone,7
2018,10,alonso_2018_10,alonso,mclaren,British Grand Prix,silverstone,8
2018,10,kevin_magnussen_2018_10,kevin_magnussen,haas,British Grand Prix,silverstone,9
2018,10,perez_2018_10,perez,force_india,British Grand Prix,silverstone,10
2018,10,vandoorne_2018_10,vandoorne,mclaren,British Grand Prix,silverstone,11
2018,10,stroll_2018_10,stroll,williams,British Grand Prix,silverstone,12
2018,10,gasly_2018_10,gasly,toro_rosso,British Grand Prix,silverstone,13
2018,10,sirotkin_2018_10,sirotkin,williams,British Grand Prix,silverstone,14
2018,11,hamilton_2018_11,hamilton,mercedes,German Grand Prix,hockenheim,1
2018,11,bottas_2018_11,bottas,mercedes,German Grand Prix,hockenheim,2
2018,11,raikkonen_2018_11,raikkonen,ferrari,German Grand Prix,hockenheim,3
2018,11,max_verstappen_2018_11,max_verstappen,red_bull,German Grand Prix,hockenheim,4
2018,11,hulkenberg_2018_11,hulkenberg,renault,German Grand Prix,hockenheim,5
2018,11,grosjean_2018_11,grosjean,haas,German Grand Prix,hockenheim,6
2018,11,perez_2018_11,perez,force_india,German Grand Prix,hockenheim,7
2018,11,ocon_2018_11,ocon,force_india,German Grand Prix,hockenheim,8
2018,11,ericsson_2018_11,ericsson,sauber,German Grand Prix,hockenheim,9
2018,11,brendon_hartley_2018_11,brendon_hartley,toro_rosso,German Grand Prix,hockenheim,10
2018,11,kevin_magnussen_2018_11,kevin_magnussen,haas,German Grand Prix,hockenheim,11
2018,11,sainz_2018_11,sainz,renault,German Grand Prix,hockenheim,12
2018,11,vandoorne_2018_11,vandoorne,mclaren,German Grand Prix,hockenheim,13
2018,11,gasly_2018_11,gasly,toro_rosso,German Grand Prix,hockenheim,14
2018,11,leclerc_2018_11,leclerc,sauber,German Grand Prix,hockenheim,15
2018,12,hamilton_2018_12,hamilton,mercedes,Hungarian Grand Prix,hungaroring,1
2018,12,vettel_2018_12,vettel,ferrari,Hungarian Grand Prix,hungaroring,2
2018,12,raikkonen_2018_12,raikkonen,ferrari,Hungarian Grand Prix,hungaroring,3
2018,12,ricciardo_2018_12,ricciardo,red_bull,Hungarian Grand Prix,hungaroring,4
2018,12,bottas_2018_12,bottas,mercedes,Hungarian Grand Prix,hungaroring,5
2018,12,gasly_2018_12,gasly,toro_rosso,Hungarian Grand Prix,hungaroring,6
2018,12,kevin_magnussen_2018_12,kevin_magnussen,haas,Hungarian Grand Prix,hungaroring,7
2018,12,alonso_2018_12,alonso,mclaren,Hungarian Grand Prix,hungaroring,8
2018,12,sainz_2018_12,sainz,renault,Hungarian Grand Prix,hungaroring,9
2018,12,grosjean_2018_12,grosjean,haas,Hungarian Grand Prix,hungaroring,10
2018,12,brendon_hartley_2018_12,brendon_hartley,toro_rosso,Hungarian Grand Prix,hungaroring,11
2018,12,hulkenberg_2018_12,hulkenberg,renault,Hungarian Grand Prix,hungaroring,12
2018,12,ocon_2018_12,ocon,force_india,Hungarian Grand Prix,hungaroring,13
2018,12,perez_2018_12,perez,force_india,Hungarian Grand Prix,hungaroring,14
2018,12,ericsson_2018_12,ericsson,sauber,Hungarian Grand Prix,hungaroring,15
2018,12,sirotkin_2018_12,sirotkin,williams,Hungarian Grand Prix,hungaroring,16
2018,12,stroll_2018_12,stroll,williams,Hungarian Grand Prix,hungaroring,17
2018,13,vettel_2018_13,vettel,ferrari,Belgian Grand Prix,spa,1
2018,13,hamilton_2018_13,hamilton,mercedes,Belgian Grand Prix,spa,2
2018,13,max_verstappen_2018_13,max_verstappen,red_bull,Belgian Grand Prix,spa,3
2018,13,bottas_2018_13,bottas,mercedes,Belgian Grand Prix,spa,4
2018,13,perez_2018_13,perez,force_india,Belgian Grand Prix,spa,5
2018,13,ocon_2018_13,ocon,force_india,Belgian Grand Prix,spa,6
2018,13,grosjean_2018_13,grosjean,haas,Belgian Grand Prix,spa,7
2018,13,kevin_magnussen_2018_13,kevin_magnussen,haas,Belgian Grand Prix,spa,8
2018,13,gasly_2018_13,gasly,toro_rosso,Belgian Grand Prix,spa,9
2018,13,ericsson_2018_13,ericsson,sauber,Belgian Grand Prix,spa,10
2018,13,sainz_2018_13,sainz,renault,Belgian Grand Prix,spa,11
2018,13,sirotkin_2018_13,sirotkin,williams,Belgian Grand Prix,spa,12
2018,13,stroll_2018_13,stroll,williams,Belgian Grand Prix,spa,13
2018,13,brendon_hartley_2018_13,brendon_hartley,toro_rosso,Belgian Grand Prix,spa,14
2018,13,vandoorne_2018_13,vandoorne,mclaren,Belgian Grand Prix,spa,15
2018,14,hamilton_2018_14,hamilton,mercedes,Italian Grand Prix,monza,1
2018,14,raikkonen_2018_14,raikkonen,ferrari,Italian Grand Prix,monza,2
2018,14,bottas_2018_14,bottas,mercedes,Italian Grand Prix,monza,3
2018,14,vettel_2018_14,vettel,ferrari,Italian Grand Prix,monza,4
2018,14,max_verstappen_2018_14,max_verstappen,red_bull,Italian Grand Prix,monza,5
2018,14,ocon_2018_14,ocon,force_india,Italian Grand Prix,monza,6
2018,14,perez_2018_14,perez,force_india,Italian Grand Prix,monza,7
2018,14,sainz_2018_14,sainz,renault,Italian Grand Prix,monza,8
2018,14,stroll_2018_14,stroll,williams,Italian Grand Prix,monza,9
2018,14,sirotkin_2018_14,sirotkin,williams,Italian Grand Prix,monza,10
2018,14,leclerc_2018_14,leclerc,sauber,Italian Grand Prix,monza,11
2018,14,vandoorne_2018_14,vandoorne,mclaren,Italian Grand Prix,monza,12
2018,14,hulkenberg_2018_14,hulkenberg,renault,Italian Grand Prix,monza,13
2018,14,gasly_2018_14,gasly,toro_rosso,Italian Grand Prix,monza,14
2018,14,ericsson_2018_14,ericsson,sauber,Italian Grand Prix,monza,15
2018,14,kevin_magnussen_2018_14,kevin_magnussen,haas,Italian Grand Prix,monza,16
2018,15,hamilton_2018_15,hamilton,mercedes,Singapore Grand Prix,marina_bay,1
2018,15,max_verstappen_2018_15,max_verstappen,red_bull,Singapore Grand Prix,marina_bay,2
2018,15,vettel_2018_15,vettel,ferrari,Singapore Grand Prix,marina_bay,3
2018,15,bottas_2018_15,bottas,mercedes,Singapore Grand Prix,marina_bay,4
2018,15,raikkonen_2018_15,raikkonen,ferrari,Singapore Grand Prix,marina_bay,5
2018,15,ricciardo_2018_15,ricciardo,red_bull,Singapore Grand Prix,marina_bay,6
2018,15,alonso_2018_15,alonso,mclaren,Singapore Grand Prix,marina_bay,7
2018,15,sainz_2018_15,sainz,renault,Singapore Grand Prix,marina_bay,8
2018,15,leclerc_2018_15,leclerc,sauber,Singapore Grand Prix,marina_bay,9
2018,15,hulkenberg_2018_15,hulkenberg,renault,Singapore Grand Prix,marina_bay,10
2018,15,ericsson_2018_15,ericsson,sauber,Singapore Grand Prix,marina_bay,11
2018,15,vandoorne_2018_15,vandoorne,mclaren,Singapore Grand Prix,marina_bay,12
2018,15,gasly_2018_15,gasly,toro_rosso,Singapore Grand Prix,marina_bay,13
2018,15,stroll_2018_15,stroll,williams,Singapore Grand Prix,marina_bay,14
2018,15,grosjean_2018_15,grosjean,haas,Singapore Grand Prix,marina_bay,15
2018,15,perez_2018_15,perez,force_india,Singapore Grand Prix,marina_bay,16
2018,15,brendon_hartley_2018_15,brendon_hartley,toro_rosso,Singapore Grand Prix,marina_bay,17
2018,15,kevin_magnussen_2018_15,kevin_magnussen,haas,Singapore Grand Prix,marina_bay,18
2018,15,sirotkin_2018_15,sirotkin,williams,Singapore Grand Prix,marina_bay,19
2018,16,hamilton_2018_16,hamilton,mercedes,Russian Grand Prix,sochi,1
2018,16,bottas_2018_16,bottas,mercedes,Russian Grand Prix,sochi,2
2018,16,vettel_2018_16,vettel,ferrari,Russian Grand Prix,sochi,3
2018,16,raikkonen_2018_16,raikkonen,ferrari,Russian Grand Prix,sochi,4
2018,16,max_verstappen_2018_16,max_verstappen,red_bull,Russian Grand Prix,sochi,5
2018,16,ricciardo_2018_16,ricciardo,red_bull,Russian Grand Prix,sochi,6
2018,16,leclerc_2018_16,leclerc,sauber,Russian Grand Prix,sochi,7
2018,16,kevin_magnussen_2018_16,kevin_magnussen,haas,Russian Grand Prix,sochi,8
2018,16,ocon_2018_16,ocon,force_india,Russian Grand Prix,sochi,9
2018,16,perez_2018_16,perez,force_india,Russian Grand Prix,sochi,10
2018,16,grosjean_2018_16,grosjean,haas,Russian Grand Prix,sochi,11
2018,16,hulkenberg_2018_16,hulkenberg,renault,Russian Grand Prix,sochi,12
2018,16,ericsson_2018_16,ericsson,sauber,Russian Grand Prix,sochi,13
2018,16,alonso_2018_16,alonso,mclaren,Russian Grand Prix,sochi,14
2018,16,stroll_2018_16,stroll,williams,Russian Grand Prix,sochi,15
2018,16,vandoorne_2018_16,vandoorne,mclaren,Russian Grand Prix,sochi,16
2018,16,sainz_2018_16,sainz,renault,Russian Grand Prix,sochi,17
2018,16,sirotkin_2018_16,sirotkin,williams,Russian Grand Prix,sochi,18
2018,17,hamilton_2018_17,hamilton,mercedes,Japanese Grand Prix,suzuka,1
2018,17,bottas_2018_17,bottas,mercedes,Japanese Grand Prix,suzuka,2
2018,17,max_verstappen_2018_17,max_verstappen,red_bull,Japanese Grand Prix,suzuka,3
2018,17,ricciardo_2018_17,ricciardo,red_bull,Japanese Grand Prix,suzuka,4
2018,17,raikkonen_2018_17,raikkonen,ferrari,Japanese Grand Prix,suzuka,5
2018,17,vettel_2018_17,vettel,ferrari,Japanese Grand Prix,suzuka,6
2018,17,perez_2018_17,perez,force_india,Japanese Grand Prix,suzuka,7
2018,17,grosjean_2018_17,grosjean,haas,Japanese Grand Prix,suzuka,8
2018,17,ocon_2018_17,ocon,force_india,Japanese Grand Prix,suzuka,9
2018,17,sainz_2018_17,sainz,renault,Japanese Grand Prix,suzuka,10
2018,17,gasly_2018_17,gasly,toro_rosso,Japanese Grand Prix,suzuka,11
2018,17,ericsson_2018_17,ericsson,sauber,Japanese Grand Prix,suzuka,12
2018,17,brendon_hartley_2018_17,brendon_hartley,toro_rosso,Japanese Grand Prix,suzuka,13
2018,17,alonso_2018_17,alonso,mclaren,Japanese Grand Prix,suzuka,14
2018,17,vandoorne_2018_17,vandoorne,mclaren,Japanese Grand Prix,suzuka,15
2018,17,sirotkin_2018_17,sirotkin,williams,Japanese Grand Prix,suzuka,16
2018,17,stroll_2018_17,stroll,williams,Japanese Grand Prix,suzuka,17
2018,18,raikkonen_2018_18,raikkonen,ferrari,United States Grand Prix,americas,1
2018,18,max_verstappen_2018_18,max_verstappen,red_bull,United States Grand Prix,americas,2
2018,18,hamilton_2018_18,hamilton,mercedes,United States Grand Prix,americas,3
2018,18,vettel_2018_18,vettel,ferrari,United States Grand Prix,americas,4
2018,18,bottas_2018_18,bottas,mercedes,United States Grand Prix,americas,5
2018,18,hulkenberg_2018_18,hulkenberg,renault,United States Grand Prix,americas,6
2018,18,sainz_2018_18,sainz,renault,United States Grand Prix,americas,7
2018,18,perez_2018_18,perez,force_india,United States Grand Prix,americas,8
2018,18,brendon_hartley_2018_18,brendon_hartley,toro_rosso,United States Grand Prix,americas,9
2018,18,ericsson_2018_18,ericsson,sauber,United States Grand Prix,americas,10
2018,18,vandoorne_2018_18,vandoorne,mclaren,United States Grand Prix,americas,11
2018,18,gasly_2018_18,gasly,toro_rosso,United States Grand Prix,americas,12
2018,18,sirotkin_2018_18,sirotkin,williams,United States Grand Prix,americas,13
2018,18,stroll_2018_18,stroll,williams,United States Grand Prix,americas,14
2018,19,max_verstappen_2018_19,max_verstappen,red_bull,Mexican Grand Prix,rodriguez,1
2018,19,vettel_2018_19,vettel,ferrari,Mexican Grand Prix,rodriguez,2
2018,19,raikkonen_2018_19,raikkonen,ferrari,Mexican Grand Prix,rodriguez,3
2018,19,hamilton_2018_19,hamilton,mercedes,Mexican Grand Prix,rodriguez,4
2018,19,bottas_2018_19,bottas,mercedes,Mexican Grand Prix,rodriguez,5
2018,19,hulkenberg_2018_19,hulkenberg,renault,Mexican Grand Prix,rodriguez,6
2018,19,leclerc_2018_19,leclerc,sauber,Mexican Grand Prix,rodriguez,7
2018,19,vandoorne_2018_19,vandoorne,mclaren,Mexican Grand Prix,rodriguez,8
2018,19,ericsson_2018_19,ericsson,sauber,Mexican Grand Prix,rodriguez,9
2018,19,gasly_2018_19,gasly,toro_rosso,Mexican Grand Prix,rodriguez,10
2018,19,ocon_2018_19,ocon,force_india,Mexican Grand Prix,rodriguez,11
2018,19,stroll_2018_19,stroll,williams,Mexican Grand Prix,rodriguez,12
2018,19,sirotkin_2018_19,sirotkin,williams,Mexican Grand Prix,rodriguez,13
2018,19,brendon_hartley_2018_19,brendon_hartley,toro_rosso,Mexican Grand Prix,rodriguez,14
2018,19,kevin_magnussen_2018_19,kevin_magnussen,haas,Mexican Grand Prix,rodriguez,15
2018,19,grosjean_2018_19,grosjean,haas,Mexican Grand Prix,rodriguez,16
2018,20,hamilton_2018_20,hamilton,mercedes,Brazilian Grand Prix,interlagos,1
2018,20,max_verstappen_2018_20,max_verstappen,red_bull,Brazilian Grand Prix,interlagos,2
2018,20,raikkonen_2018_20,raikkonen,ferrari,Brazilian Grand Prix,interlagos,3
2018,20,ricciardo_2018_20,ricciardo,red_bull,Brazilian Grand Prix,interlagos,4
2018,20,bottas_2018_20,bottas,mercedes,Brazilian Grand Prix,interlagos,5
2018,20,vettel_2018_20,vettel,ferrari,Brazilian Grand Prix,interlagos,6
2018,20,leclerc_2018_20,leclerc,sauber,Brazilian Grand Prix,interlagos,7
2018,20,grosjean_2018_20,grosjean,haas,Brazilian Grand Prix,interlagos,8
2018,20,kevin_magnussen_2018_20,kevin_magnussen,haas,Brazilian Grand Prix,interlagos,9
2018,20,perez_2018_20,perez,force_india,Brazilian Grand Prix,interlagos,10
2018,20,brendon_hartley_2018_20,brendon_hartley,toro_rosso,Brazilian Grand Prix,interlagos,11
2018,20,sainz_2018_20,sainz,renault,Brazilian Grand Prix,interlagos,12
2018,20,gasly_2018_20,gasly,toro_rosso,Brazilian Grand Prix,interlagos,13
2018,20,vandoorne_2018_20,vandoorne,mclaren,Brazilian Grand Prix,interlagos,14
2018,20,ocon_2018_20,ocon,force_india,Brazilian Grand Prix,interlagos,15
2018,20,sirotkin_2018_20,sirotkin,williams,Brazilian Grand Prix,interlagos,16
2018,20,alonso_2018_20,alonso,mclaren,Brazilian Grand Prix,interlagos,17
2018,20,stroll_2018_20,stroll,williams,Brazilian Grand Prix,interlagos,18
2018,21,hamilton_2018_21,hamilton,mercedes,Abu Dhabi Grand Prix,yas_marina,1
2018,21,vettel_2018_21,vettel,ferrari,Abu Dhabi Grand Prix,yas_marina,2
2018,21,max_verstappen_2018_21,max_verstappen,red_bull,Abu Dhabi Grand Prix,yas_marina,3
2018,21,ricciardo_2018_21,ricciardo,red_bull,Abu Dhabi Grand Prix,yas_marina,4
2018,21,bottas_2018_21,bottas,mercedes,Abu Dhabi Grand Prix,yas_marina,5
2018,21,sainz_2018_21,sainz,renault,Abu Dhabi Grand Prix,yas_marina,6
2018,21,leclerc_2018_21,leclerc,sauber,Abu Dhabi Grand Prix,yas_marina,7
