season,meeting_key,session_key,driver_number,position,dnf,number_of_laps
2025,1265,9939,6,20.0,False,43.0
2025,1266,9928,4,1.0,False,70.0
2025,1266,9928,81,2.0,False,70.0
2025,1266,9928,63,3.0,False,70.0
2025,1266,9928,16,4.0,False,70.0
2025,1266,9928,14,5.0,False,70.0
2025,1266,9928,5,6.0,False,70.0
2025,1266,9928,18,7.0,False,70.0
2025,1266,9928,30,8.0,False,70.0
2025,1266,9928,1,9.0,False,70.0
2025,1266,9928,12,10.0,False,69.0
2025,1266,9928,6,11.0,False,69.0
2025,1266,9928,44,12.0,False,69.0
2025,1266,9928,27,13.0,False,69.0
2025,1266,9928,55,14.0,False,69.0
2025,1266,9928,23,15.0,False,69.0
2025,1266,9928,31,16.0,False,69.0
2025,1266,9928,22,17.0,False,69.0
2025,1266,9928,43,18.0,False,69.0
2025,1266,9928,10,19.0,False,69.0
2025,1266,9928,87,,True,48.0
2025,1267,9920,81,1.0,False,72.0
2025,1267,9920,1,2.0,False,72.0
2025,1267,9920,6,3.0,False,72.0
2025,1267,9920,63,4.0,False,72.0
2025,1267,9920,23,5.0,False,72.0
2025,1267,9920,87,6.0,False,72.0
2025,1267,9920,18,7.0,False,72.0
2025,1267,9920,14,8.0,False,72.0
2025,1267,9920,22,9.0,False,72.0
2025,1267,9920,31,10.0,False,72.0
2025,1267,9920,43,11.0,False,72.0
2025,1267,9920,30,12.0,False,72.0
2025,1267,9920,55,13.0,False,72.0
2025,1267,9920,27,14.0,False,72.0
2025,1267,9920,5,15.0,False,72.0
2025,1267,9920,12,16.0,False,72.0
2025,1267,9920,10,17.0,False,72.0
2025,1267,9920,4,18.0,True,64.0
2025,1267,9920,16,,True,52.0
2025,1267,9920,44,,True,22.0
2025,1268,9912,1,1.0,False,53.0
2025,1268,9912,4,2.0,False,53.0
2025,1268,9912,81,3.0,False,53.0
2025,1268,9912,16,4.0,False,53.0
2025,1268,9912,63,5.0,False,53.0
2025,1268,9912,44,6.0,False,53.0
2025,1268,9912,23,7.0,False,53.0
2025,1268,9912,5,8.0,False,53.0
2025,1268,9912,12,9.0,False,53.0
2025,1268,9912,6,10.0,False,53.0
2025,1268,9912,55,11.0,False,53.0
2025,1268,9912,87,12.0,False,53.0
2025,1268,9912,22,13.0,False,53.0
2025,1268,9912,30,14.0,False,53.0
2025,1268,9912,31,15.0,False,52.0
2025,1268,9912,10,16.0,False,52.0
2025,1268,9912,43,17.0,False,52.0
2025,1268,9912,18,18.0,False,52.0
2025,1268,9912,14,,True,24.0
2025,1268,9912,27,,False,0.0
2025,1269,9904,1,1.0,False,51.0
