season,meeting_key,session_key,driver_number,position,dnf,number_of_laps
2025,1272,9877,6,13.0,False,70.0
2025,1272,9877,18,14.0,False,70.0
2025,1272,9877,10,15.0,False,70.0
2025,1272,9877,43,16.0,False,70.0
2025,1272,9877,55,17.0,True,67.0
2025,1272,9877,14,,True,34.0
2025,1272,9877,27,,True,25.0
2025,1272,9877,30,,True,5.0
2025,1273,9869,4,1.0,False,71.0
2025,1273,9869,12,2.0,False,71.0
2025,1273,9869,1,3.0,False,71.0
2025,1273,9869,63,4.0,False,71.0
2025,1273,9869,81,5.0,False,71.0
2025,1273,9869,87,6.0,False,71.0
2025,1273,9869,30,7.0,False,71.0
2025,1273,9869,6,8.0,False,71.0
2025,1273,9869,27,9.0,False,71.0
2025,1273,9869,10,10.0,False,71.0
2025,1273,9869,23,11.0,False,71.0
2025,1273,9869,31,12.0,False,71.0
2025,1273,9869,55,13.0,False,71.0
2025,1273,9869,14,14.0,False,71.0
2025,1273,9869,43,15.0,False,71.0
2025,1273,9869,18,16.0,False,71.0
2025,1273,9869,22,17.0,False,71.0
2025,1273,9869,44,,True,37.0
2025,1273,9869,16,,True,5.0
2025,1273,9869,5,,True,0.0
2025,1274,9858,1,1.0,False,50.0
2025,1274,9858,63,2.0,False,50.0
2025,1274,9858,12,3.0,False,50.0
2025,1274,9858,16,4.0,False,50.0
2025,1274,9858,55,5.0,False,50.0
2025,1274,9858,6,6.0,False,50.0
2025,1274,9858,27,7.0,False,50.0
2025,1274,9858,44,8.0,False,50.0
2025,1274,9858,31,9.0,False,50.0
2025,1274,9858,87,10.0,False,50.0
2025,1274,9858,14,11.0,False,50.0
2025,1274,9858,22,12.0,False,50.0
2025,1274,9858,10,13.0,False,50.0
2025,1274,9858,30,14.0,False,49.0
2025,1274,9858,43,15.0,False,49.0
2025,1274,9858,23,,True,35.0
2025,1274,9858,5,,True,2.0
2025,1274,9858,18,,True,0.0
2025,1274,9858,4,,False,
2025,1274,9858,81,,False,
2025,1275,9850,1,1.0,False,57.0
2025,1275,9850,81,2.0,False,57.0
2025,1275,9850,55,3.0,False,57.0
2025,1275,9850,4,4.0,False,57.0
2025,1275,9850,12,5.0,False,57.0
2025,1275,9850,63,6.0,False,57.0
2025,1275,9850,14,7.0,False,57.0
2025,1275,9850,16,8.0,False,57.0
2025,1275,9850,30,9.0,False,57.0
2025,1275,9850,22,10.0,False,57.0
2025,1275,9850,23,11.0,False,57.0
2025,1275,9850,44,12.0,False,57.0
2025,1275,9850,5,13.0,False,57.0
2025,1275,9850,43,14.0,False,56.0
2025,1275,9850,31,15.0,False,56.0
2025,1275,9850,10,16.0,False,56.0
2025,1275,9850,18,17.0,True,55.0
2025,1275,9850,6,18.0,True,55.0
2025,1275,9850,87,,True,41.0
2025,1275,9850,27,,True,6.0
2025,1276,9839,1,1.0,False,58.0
2025,1276,9839,81,2.0,False,58.0
2025,1276,9839,4,3.0,False,58.0
2025,1276,9839,16,4.0,False,58.0
2025,1276,9839,63,5.0,False,58.0
2025,1276,9839,14,6.0,False,58.0
2025,1276,9839,31,7.0,False,58.0
2025,1276,9839,44,8.0,False,58.0
2025,1276,9839,27,9.0,False,58.0
2025,1276,9839,18,10.0,False,58.0
2025,1276,9839,5,11.0,False,58.0
2025,1276,9839,87,12.0,False,58.0
2025,1276,9839,55,13.0,False,58.0
2025,1276,9839,22,14.0,False,58.0
2025,1276,9839,12,15.0,False,58.0
2025,1276,9839,23,16.0,False,58.0
2025,1276,9839,6,17.0,False,57.0
2025,1276,9839,30,18.0,False,57.0
2025,1276,9839,10,19.0,False,57.0
2025,1276,9839,43,20.0,False,57.0
2026,1279,11234,63,1.0,False,58.0
2026,1279,11234,12,2.0,False,58.0
2026,1279,11234,16,3.0,False,58.0
2026,1279,11234,44,4.0,False,58.0
2026,1279,11234,1,5.0,False,58.0
2026,1279,11234,3,6.0,False,58.0
2026,1279,11234,87,7.0,False,57.0
2026,1279,11234,41,8.0,False,57.0
2026,1279,11234,5,9.0,False,57.0
2026,1279,11234,10,10.0,False,57.0
2026,1279,11234,31,11.0,False,57.0
2026,1279,11234,23,12.0,False,57.0
2026,1279,11234,30,13.0,False,57.0
2026,1279,11234,43,14.0,False,56.0
2026,1279,11234,55,15.0,False,56.0
2026,1279,11234,11,16.0,False,55.0
2026,1279,11234,18,,False,43.0
2026,1279,11234,14,,True,21.0
2026,1279,11234,77,,True,15.0
2026,1279,11234,6,,True,10.0
2026,1279,11234,81,,False,0.0
2026,1279,11234,27,,False,0.0
2026,1280,11245,12,1.0,False,56.0
2026,1280,11245,63,2.0,False,56.0
2026,1280,11245,44,3.0,False,56.0
2026,1280,11245,16,4.0,False,56.0
2026,1280,11245,87,5.0,False,56.0
2026,1280,11245,10,6.0,False,56.0
2026,1280,11245,30,7.0,False,56.0
2026,1280,11245,6,8.0,False,56.0
2026,1280,11245,55,9.0,False,55.0
2026,1280,11245,43,10.0,False,55.0
2026,1280,11245,27,11.0,False,55.0
2026,1280,11245,41,12.0,False,55.0
2026,1280,11245,77,13.0,False,55.0
2026,1280,11245,31,14.0,False,55.0
2026,1280,11245,11,15.0,False,55.0
2026,1280,11245,3,,True,45.0
2026,1280,11245,14,,True,32.0
2026,1280,11245,18,,True,9.0
2026,1280,11245,81,,False,0.0
