Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,season,round
HAM,8.0,0 days 00:01:24.296000,0 days 00:00:29.293000,0 days 00:00:33.326000,0 days 00:00:21.677000,MEDIUM,8.0,1.0,2023,19
HAM,9.0,0 days 00:01:23.964000,0 days 00:00:29.094000,0 days 00:00:33.147000,0 days 00:00:21.723000,MEDIUM,9.0,1.0,2023,19
HAM,10.0,0 days 00:01:23.785000,0 days 00:00:29.042000,0 days 00:00:33.188000,0 days 00:00:21.555000,MEDIUM,10.0,1.0,2023,19
HAM,11.0,0 days 00:01:23.951000,0 days 00:00:28.921000,0 days 00:00:33.079000,0 days 00:00:21.951000,MEDIUM,11.0,1.0,2023,19
HAM,12.0,0 days 00:01:23.632000,0 days 00:00:29.455000,0 days 00:00:32.613000,0 days 00:00:21.564000,MEDIUM,12.0,1.0,2023,19
HAM,13.0,0 days 00:01:24.072000,0 days 00:00:29.503000,0 days 00:00:32.746000,0 days 00:00:21.823000,MEDIUM,13.0,1.0,2023,19
HAM,14.0,0 days 00:01:23.839000,0 days 00:00:29.426000,0 days 00:00:32.742000,0 days 00:00:21.671000,MEDIUM,14.0,1.0,2023,19
HAM,15.0,0 days 00:01:23.831000,0 days 00:00:29.452000,0 days 00:00:32.507000,0 days 00:00:21.872000,MEDIUM,15.0,1.0,2023,19
HAM,16.0,0 days 00:01:23.940000,0 days 00:00:29.419000,0 days 00:00:32.656000,0 days 00:00:21.865000,MEDIUM,16.0,1.0,2023,19
HAM,17.0,0 days 00:01:24.365000,0 days 00:00:29.597000,0 days 00:00:32.799000,0 days 00:00:21.969000,MEDIUM,17.0,1.0,2023,19
HAM,18.0,0 days 00:01:24.107000,0 days 00:00:29.495000,0 days 00:00:32.739000,0 days 00:00:21.873000,MEDIUM,18.0,1.0,2023,19
HAM,19.0,0 days 00:01:24.340000,0 days 00:00:28.935000,0 days 00:00:33.232000,0 days 00:00:22.173000,MEDIUM,19.0,1.0,2023,19
HAM,20.0,0 days 00:01:24.181000,0 days 00:00:29.011000,0 days 00:00:33.272000,0 days 00:00:21.898000,MEDIUM,20.0,1.0,2023,19
HAM,21.0,0 days 00:01:24.172000,0 days 00:00:29.046000,0 days 00:00:33.047000,0 days 00:00:22.079000,MEDIUM,21.0,1.0,2023,19
HAM,22.0,0 days 00:01:24.580000,0 days 00:00:29.221000,0 days 00:00:33.268000,0 days 00:00:22.091000,MEDIUM,22.0,1.0,2023,19
HAM,23.0,0 days 00:01:24.231000,0 days 00:00:29.694000,0 days 00:00:32.804000,0 days 00:00:21.733000,MEDIUM,23.0,1.0,2023,19
HAM,24.0,0 days 00:01:26.973000,0 days 00:00:29.442000,0 days 00:00:32.679000,0 days 00:00:24.852000,MEDIUM,24.0,1.0,2023,19
HAM,25.0,0 days 00:01:40.629000,0 days 00:00:47.683000,0 days 00:00:31.683000,0 days 00:00:21.263000,HARD,1.0,2.0,2023,19
HAM,26.0,0 days 00:01:22.870000,0 days 00:00:29.301000,0 days 00:00:32.222000,0 days 00:00:21.347000,HARD,2.0,2.0,2023,19
HAM,27.0,0 days 00:01:23.717000,0 days 00:00:29.611000,0 days 00:00:32.787000,0 days 00:00:21.319000,HARD,3.0,2.0,2023,19
HAM,28.0,0 days 00:01:23.472000,0 days 00:00:29.374000,0 days 00:00:32.588000,0 days 00:00:21.510000,HARD,4.0,2.0,2023,19
HAM,29.0,0 days 00:01:23.381000,0 days 00:00:29.553000,0 days 00:00:32.614000,0 days 00:00:21.214000,HARD,5.0,2.0,2023,19
HAM,30.0,0 days 00:01:23.219000,0 days 00:00:29.348000,0 days 00:00:32.414000,0 days 00:00:21.457000,HARD,6.0,2.0,2023,19
HAM,31.0,0 days 00:01:23.607000,0 days 00:00:29.446000,0 days 00:00:32.560000,0 days 00:00:21.601000,HARD,7.0,2.0,2023,19
HAM,32.0,0 days 00:01:23.190000,0 days 00:00:29.416000,0 days 00:00:32.476000,0 days 00:00:21.298000,HARD,8.0,2.0,2023,19
HAM,33.0,0 days 00:01:39.150000,0 days 00:00:29.157000,0 days 00:00:44.239000,0 days 00:00:25.754000,HARD,9.0,2.0,2023,19
