season,meeting_key,session_key,date,air_temperature,humidity,rainfall,track_temperature,wind_speed
2025,1254,9693,2025-03-16T04:42:30.971000+00:00,16.0,75.0,0,19.3,2.6
2025,1254,9693,2025-03-16T04:43:30.999000+00:00,15.9,74.0,0,19.3,3.1
2025,1254,9693,2025-03-16T04:44:30.989000+00:00,16.0,75.0,0,19.3,3.3
2025,1254,9693,2025-03-16T04:45:31.015000+00:00,16.0,74.0,1,19.3,3.4
2025,1254,9693,2025-03-16T04:46:31.024000+00:00,16.0,75.0,1,19.3,2.8
2025,1254,9693,2025-03-16T04:47:31.059000+00:00,16.0,75.0,0,19.3,2.3
2025,1254,9693,2025-03-16T04:48:31.061000+00:00,16.0,73.0,1,19.3,2.6
2025,1254,9693,2025-03-16T04:49:31.073000+00:00,16.0,74.0,1,19.3,2.2
2025,1254,9693,2025-03-16T04:50:31.125000+00:00,16.1,74.0,1,19.4,2.6
2025,1254,9693,2025-03-16T04:51:31.135000+00:00,16.0,73.0,1,19.4,3.8
2025,1254,9693,2025-03-16T04:52:31.100000+00:00,16.0,74.0,1,19.4,3.9
2025,1254,9693,2025-03-16T04:53:31.100000+00:00,16.1,75.0,1,19.4,1.9
2025,1254,9693,2025-03-16T04:54:31.095000+00:00,16.0,74.0,1,19.4,3.0
2025,1254,9693,2025-03-16T04:55:31.082000+00:00,16.0,74.0,1,19.4,3.7
2025,1254,9693,2025-03-16T04:56:31.076000+00:00,16.0,75.0,1,19.4,2.5
2025,1254,9693,2025-03-16T04:57:31.098000+00:00,16.0,76.0,1,19.2,3.8
2025,1254,9693,2025-03-16T04:58:31.095000+00:00,15.9,75.0,1,19.2,3.4
2025,1254,9693,2025-03-16T04:59:31.089000+00:00,15.9,76.0,1,19.2,2.4
2025,1254,9693,2025-03-16T05:00:31.103000+00:00,15.9,76.0,1,19.2,2.0
2025,1254,9693,2025-03-16T05:01:31.100000+00:00,15.8,77.0,0,19.2,2.6
2025,1254,9693,2025-03-16T05:02:31.107000+00:00,15.7,75.0,0,19.2,3.6
2025,1254,9693,2025-03-16T05:03:31.105000+00:00,15.7,76.0,0,19.2,3.7
2025,1254,9693,2025-03-16T05:04:31.100000+00:00,15.7,78.0,1,19.2,2.4
2025,1254,9693,2025-03-16T05:05:31.103000+00:00,15.8,77.0,0,19.2,3.1
2025,1254,9693,2025-03-16T05:06:31.095000+00:00,15.7,77.0,0,19.1,3.2
2025,1254,9693,2025-03-16T05:07:31.101000+00:00,15.7,77.0,0,19.1,2.5
2025,1254,9693,2025-03-16T05:08:31.103000+00:00,15.7,78.0,0,19.1,2.3
2025,1254,9693,2025-03-16T05:09:31.136000+00:00,15.7,77.0,0,19.1,2.7
2025,1254,9693,2025-03-16T05:10:31.131000+00:00,15.7,77.0,0,19.1,3.1
2025,1254,9693,2025-03-16T05:11:31.143000+00:00,15.8,77.0,0,19.1,2.5
2025,1254,9693,2025-03-16T05:12:31.153000+00:00,15.8,77.0,0,19.1,2.1
2025,1254,9693,2025-03-16T05:13:31.157000+00:00,15.8,71.0,0,19.1,4.4
2025,1254,9693,2025-03-16T05:14:31.157000+00:00,15.9,71.0,0,19.0,4.3
2025,1254,9693,2025-03-16T05:15:31.196000+00:00,15.9,71.0,0,19.0,1.2
2025,1254,9693,2025-03-16T05:16:31.241000+00:00,16.1,71.0,0,19.0,3.6
2025,1254,9693,2025-03-16T05:17:31.252000+00:00,16.1,71.0,0,19.0,2.9
2025,1254,9693,2025-03-16T05:18:31.234000+00:00,16.1,70.0,0,19.0,4.9
2025,1254,9693,2025-03-16T05:19:31.237000+00:00,16.1,72.0,0,19.0,2.5
2025,1254,9693,2025-03-16T05:20:31.236000+00:00,16.1,71.0,0,19.0,3.9
2025,1254,9693,2025-03-16T05:21:31.239000+00:00,16.1,71.0,0,19.2,3.7
2025,1254,9693,2025-03-16T05:22:31.240000+00:00,16.2,70.0,0,19.2,3.1
2025,1254,9693,2025-03-16T05:23:31.241000+00:00,16.2,71.0,0,19.2,3.3
2025,1254,9693,2025-03-16T05:24:31.238000+00:00,16.3,71.0,0,19.2,4.0
2025,1254,9693,2025-03-16T05:25:31.269000+00:00,16.3,69.0,0,19.2,3.2
2025,1254,9693,2025-03-16T05:26:31.280000+00:00,16.3,68.0,0,19.2,3.9
2025,1254,9693,2025-03-16T05:27:31.279000+00:00,16.3,70.0,0,19.2,3.5
2025,1254,9693,2025-03-16T05:28:31.293000+00:00,16.4,69.0,0,19.2,4.6
2025,1254,9693,2025-03-16T05:29:31.280000+00:00,16.4,68.0,0,19.2,3.7
2025,1254,9693,2025-03-16T05:30:31.327000+00:00,16.4,68.0,0,19.2,4.8
2025,1254,9693,2025-03-16T05:31:31.340000+00:00,16.4,69.0,0,19.3,3.6
2025,1254,9693,2025-03-16T05:32:31.340000+00:00,16.5,70.0,0,19.3,4.7
2025,1254,9693,2025-03-16T05:33:31.317000+00:00,16.5,69.0,0,19.3,3.9
2025,1254,9693,2025-03-16T05:34:31.341000+00:00,16.6,68.0,0,19.3,5.1
2025,1254,9693,2025-03-16T05:35:31.344000+00:00,16.6,71.0,0,19.3,2.2
2025,1254,9693,2025-03-16T05:36:31.344000+00:00,16.6,75.0,0,19.3,1.3
2025,1254,9693,2025-03-16T05:37:31.345000+00:00,16.4,76.0,1,19.3,2.5
2025,1254,9693,2025-03-16T05:38:31.347000+00:00,16.1,77.0,1,19.3,3.5
2025,1254,9693,2025-03-16T05:39:31.324000+00:00,15.9,80.0,1,19.3,1.4
2025,1254,9693,2025-03-16T05:40:31.362000+00:00,15.7,80.0,1,19.3,1.8
2025,1254,9693,2025-03-16T05:41:31.361000+00:00,15.5,80.0,1,19.3,2.1
2025,1254,9693,2025-03-16T05:42:31.365000+00:00,15.3,80.0,1,19.3,1.6
2025,1254,9693,2025-03-16T05:43:31.378000+00:00,15.2,81.0,1,18.8,1.3
2025,1254,9693,2025-03-16T05:44:31.401000+00:00,15.1,81.0,1,18.8,1.3
2025,1254,9693,2025-03-16T05:45:31.405000+00:00,15.1,83.0,1,18.8,0.7
2025,1254,9693,2025-03-16T05:46:31.447000+00:00,15.1,82.0,0,18.8,2.2
2025,1254,9693,2025-03-16T05:47:31.446000+00:00,15.1,83.0,0,18.8,1.3
2025,1254,9693,2025-03-16T05:48:31.432000+00:00,15.1,83.0,0,18.8,2.2
2025,1254,9693,2025-03-16T05:49:31.475000+00:00,15.2,83.0,0,18.8,1.5
2025,1254,9693,2025-03-16T05:50:31.511000+00:00,15.1,81.0,0,18.8,1.8
2025,1254,9693,2025-03-16T05:51:31.492000+00:00,15.1,80.0,0,18.8,1.5
2025,1254,9693,2025-03-16T05:52:31.492000+00:00,15.1,78.0,0,18.7,1.4
2025,1254,9693,2025-03-16T05:53:31.584000+00:00,15.2,77.0,0,18.7,1.6
2025,1254,9693,2025-03-16T05:54:31.538000+00:00,15.4,77.0,0,18.7,2.3
2025,1254,9693,2025-03-16T05:55:31.539000+00:00,15.6,75.0,0,18.7,2.6
2025,1254,9693,2025-03-16T05:56:31.569000+00:00,15.8,76.0,0,18.7,1.3
2025,1254,9693,2025-03-16T05:57:31.598000+00:00,15.9,74.0,0,18.7,1.5
