AirTemp,Humidity,Rainfall,TrackTemp,WindSpeed,season,round
19.8,23.4,False,38.3,1.4,2018,3
19.6,23.5,False,38.2,1.7,2018,3
19.7,23.1,False,38.0,2.4,2018,3
19.5,23.3,False,38.0,1.1,2018,3
19.8,22.9,False,38.1,1.0,2018,3
19.8,22.6,False,38.1,1.2,2018,3
19.9,23.4,False,38.0,2.1,2018,3
20.2,22.6,False,37.9,1.1,2018,3
20.2,21.8,False,37.9,1.7,2018,3
20.0,21.3,False,38.0,1.9,2018,3
19.4,22.7,False,37.9,1.5,2018,3
19.4,22.8,False,37.9,0.9,2018,3
19.5,23.0,False,38.2,1.8,2018,3
19.4,23.3,False,38.2,2.2,2018,3
19.4,23.4,False,37.9,1.5,2018,3
19.4,23.3,False,37.9,2.0,2018,3
19.3,22.7,False,37.9,1.7,2018,3
19.4,22.9,False,37.9,1.9,2018,3
19.2,23.7,False,37.6,2.3,2018,3
19.3,23.5,False,37.6,1.1,2018,3
19.3,23.5,False,37.6,1.1,2018,3
19.3,24.3,False,37.6,1.5,2018,3
19.4,24.3,False,37.6,1.7,2018,3
19.3,23.9,False,37.7,2.6,2018,3
19.2,23.7,False,37.6,2.1,2018,3
19.1,24.0,False,37.4,1.2,2018,3
19.3,23.7,False,37.4,1.2,2018,3
19.3,24.1,False,37.6,0.8,2018,3
19.3,23.8,False,37.6,1.3,2018,3
19.3,23.5,False,37.7,1.9,2018,3
19.2,24.4,False,37.5,1.3,2018,3
19.5,24.6,False,37.7,2.2,2018,3
19.5,24.0,False,37.7,1.8,2018,3
19.5,23.6,False,37.6,1.6,2018,3
19.4,24.3,False,37.5,2.9,2018,3
19.4,23.8,False,37.6,1.7,2018,3
19.6,24.1,False,37.7,1.4,2018,3
19.6,23.9,False,37.8,2.3,2018,3
19.9,22.9,False,37.8,1.4,2018,3
19.8,23.5,False,37.7,1.8,2018,3
19.8,22.9,False,37.6,2.4,2018,3
19.5,23.0,False,37.2,2.8,2018,3
19.4,23.5,False,37.1,3.5,2018,3
19.6,23.3,False,37.1,3.1,2018,3
19.6,23.2,False,36.0,2.7,2018,3
19.7,23.5,False,35.3,1.8,2018,3
19.9,23.1,False,35.2,2.0,2018,3
19.9,23.3,False,34.5,1.4,2018,3
20.0,23.3,False,34.2,2.3,2018,3
20.0,22.8,False,33.9,2.5,2018,3
19.7,22.7,False,33.5,0.7,2018,3
19.7,23.4,False,33.4,1.3,2018,3
19.6,23.3,False,33.4,0.7,2018,3
19.6,23.2,False,32.9,1.0,2018,3
19.5,23.5,False,35.0,1.7,2018,3
19.4,24.1,False,35.0,2.1,2018,3
19.1,24.0,False,35.0,2.1,2018,3
19.0,24.6,False,35.0,1.8,2018,3
19.0,24.2,False,35.0,1.7,2018,3
18.8,24.9,False,36.3,1.5,2018,3
18.9,25.3,False,36.3,2.3,2018,3
19.0,24.9,False,37.0,2.3,2018,3
19.2,24.8,False,37.0,2.2,2018,3
19.2,24.1,False,37.0,1.6,2018,3
19.2,24.9,False,37.0,1.3,2018,3
19.1,24.7,False,38.0,2.0,2018,3
19.1,24.9,False,38.0,1.9,2018,3
19.2,24.9,False,38.0,1.5,2018,3
19.2,24.9,False,38.0,1.5,2018,3
19.3,26.2,False,38.0,2.0,2018,3
19.4,25.6,False,38.0,1.8,2018,3
19.4,25.3,False,38.0,1.6,2018,3
19.6,24.9,False,38.0,1.2,2018,3
19.6,24.8,False,38.0,2.2,2018,3
19.4,25.1,False,37.5,2.1,2018,3
19.5,25.2,False,37.5,3.4,2018,3
19.3,25.5,False,37.5,2.1,2018,3
19.5,25.2,False,37.5,2.4,2018,3
19.6,25.1,False,37.5,3.1,2018,3
19.4,25.1,False,37.5,2.7,2018,3
19.3,25.1,False,37.5,1.9,2018,3
19.2,25.5,False,37.0,2.2,2018,3
19.2,25.5,False,37.0,1.1,2018,3
19.3,26.1,False,37.0,1.7,2018,3
19.6,25.7,False,37.0,1.9,2018,3
19.7,25.4,False,37.0,1.7,2018,3
19.8,24.9,False,37.0,1.2,2018,3
19.9,24.9,False,37.0,1.8,2018,3
19.9,25.2,False,37.0,2.4,2018,3
19.7,25.1,False,36.5,2.2,2018,3
19.6,24.9,False,36.5,2.1,2018,3
19.4,25.6,False,36.5,2.8,2018,3
19.6,25.2,False,36.5,3.3,2018,3
19.5,25.5,False,36.5,3.2,2018,3
19.4,26.1,False,36.5,1.6,2018,3
19.6,25.6,False,36.5,2.2,2018,3
19.6,25.6,False,36.5,2.0,2018,3
19.6,25.6,False,36.5,1.1,2018,3
19.4,25.8,False,36.5,0.9,2018,3
19.2,27.0,False,36.5,1.2,2018,3
19.1,26.8,True,28.3,0.8,2018,3
19.1,26.8,True,28.3,0.8,2018,3
17.2,46.1,False,27.1,2.1,2018,4
17.1,46.1,False,27.2,2.1,2018,4
17.1,46.3,False,27.3,2.2,2018,4
17.1,46.4,False,27.5,2.5,2018,4
17.1,46.1,False,27.7,3.0,2018,4
17.1,46.1,False,27.9,2.2,2018,4
17.1,46.1,False,27.9,2.2,2018,4
17.1,46.1,False,27.9,3.4,2018,4
17.1,46.6,False,27.7,3.0,2018,4
17.0,46.5,False,28.0,2.8,2018,4
17.0,46.5,False,28.0,3.2,2018,4
16.8,47.4,False,27.8,2.5,2018,4
17.0,47.1,False,27.8,3.3,2018,4
16.9,47.1,False,27.7,1.9,2018,4
16.8,47.4,False,27.5,2.2,2018,4
16.7,47.8,False,27.5,1.9,2018,4
16.7,47.8,False,27.5,1.9,2018,4
16.8,47.6,False,27.7,3.2,2018,4
16.9,47.5,False,27.5,2.3,2018,4
16.8,47.4,False,27.2,1.6,2018,4
16.8,47.5,False,27.2,1.7,2018,4
16.8,46.9,False,27.2,3.6,2018,4
16.8,47.1,False,27.1,2.9,2018,4
16.9,46.7,False,26.9,2.7,2018,4
16.8,46.9,False,26.9,3.0,2018,4
16.6,47.5,False,26.8,1.7,2018,4
16.5,47.2,False,26.7,2.2,2018,4
16.5,47.2,False,26.7,2.2,2018,4
16.7,46.9,False,26.7,2.8,2018,4
16.8,47.1,False,26.5,2.0,2018,4
16.8,47.1,False,26.5,2.0,2018,4
16.8,47.1,False,26.4,2.2,2018,4
16.8,46.8,False,26.3,2.5,2018,4
16.8,46.7,False,26.2,1.9,2018,4
16.7,46.9,False,26.1,3.2,2018,4
16.7,46.8,False,26.0,2.2,2018,4
16.6,47.3,False,26.0,1.1,2018,4
16.7,47.3,False,25.8,2.4,2018,4
16.6,47.5,False,25.7,2.0,2018,4
16.6,47.5,False,25.7,2.0,2018,4
16.7,47.4,False,25.7,2.8,2018,4
16.7,46.8,False,25.7,3.9,2018,4
16.7,47.3,False,25.6,2.1,2018,4
16.5,47.5,False,25.5,3.5,2018,4
16.5,47.4,False,25.4,2.8,2018,4
16.4,47.5,False,25.4,2.0,2018,4
16.5,46.8,False,25.3,2.4,2018,4
16.5,47.5,False,25.3,1.6,2018,4
16.5,47.1,False,25.3,2.7,2018,4
16.5,47.1,False,25.1,2.9,2018,4
16.5,47.1,False,25.1,2.9,2018,4
16.5,47.1,False,25.1,1.4,2018,4
16.4,46.9,False,25.1,2.0,2018,4
16.4,46.9,False,25.0,2.1,2018,4
16.4,47.1,False,25.0,2.0,2018,4
16.5,46.9,False,25.0,3.1,2018,4
16.5,46.8,False,24.9,2.8,2018,4
16.5,46.8,False,24.9,2.8,2018,4
16.5,46.4,False,24.9,2.0,2018,4
16.4,46.5,False,24.9,1.6,2018,4
16.4,46.7,False,24.9,1.0,2018,4
16.6,46.3,False,24.7,2.4,2018,4
16.5,46.0,False,24.7,1.9,2018,4
16.5,46.2,False,24.7,1.7,2018,4
