RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,experimento,train_start,train_end,valid_season,decay
tsunoda_2025_6,2025,6,tsunoda,red_bull,10,9.832204450235945,A,2018,2024,2025,0.95
hadjar_2025_6,2025,6,hadjar,rb,11,10.72259525169163,A,2018,2024,2025,0.95
ocon_2025_6,2025,6,ocon,haas,12,10.170244305149016,A,2018,2024,2025,0.95
gasly_2025_6,2025,6,gasly,alpine,13,13.386258740301706,A,2018,2024,2025,0.95
hulkenberg_2025_6,2025,6,hulkenberg,sauber,14,13.583460988930282,A,2018,2024,2025,0.95
alonso_2025_6,2025,6,alonso,aston_martin,15,12.935409057041799,A,2018,2024,2025,0.95
stroll_2025_6,2025,6,stroll,aston_martin,16,14.510503539905855,A,2018,2024,2025,0.95
max_verstappen_2025_7,2025,7,max_verstappen,red_bull,1,2.6860637153031752,A,2018,2024,2025,0.95
norris_2025_7,2025,7,norris,mclaren,2,3.1786795698483576,A,2018,2024,2025,0.95
piastri_2025_7,2025,7,piastri,mclaren,3,2.8218747963924526,A,2018,2024,2025,0.95
hamilton_2025_7,2025,7,hamilton,ferrari,4,7.50952045316712,A,2018,2024,2025,0.95
albon_2025_7,2025,7,albon,williams,5,8.441468518610998,A,2018,2024,2025,0.95
leclerc_2025_7,2025,7,leclerc,ferrari,6,6.896813542449833,A,2018,2024,2025,0.95
russell_2025_7,2025,7,russell,mercedes,7,3.8310846672822407,A,2018,2024,2025,0.95
sainz_2025_7,2025,7,sainz,williams,8,8.464020055184521,A,2018,2024,2025,0.95
hadjar_2025_7,2025,7,hadjar,rb,9,9.33452353132568,A,2018,2024,2025,0.95
tsunoda_2025_7,2025,7,tsunoda,red_bull,10,12.31288763245709,A,2018,2024,2025,0.95
alonso_2025_7,2025,7,alonso,aston_martin,11,7.922995626683568,A,2018,2024,2025,0.95
hulkenberg_2025_7,2025,7,hulkenberg,sauber,12,13.564891714786512,A,2018,2024,2025,0.95
gasly_2025_7,2025,7,gasly,alpine,13,10.173243206133812,A,2018,2024,2025,0.95
lawson_2025_7,2025,7,lawson,rb,14,13.42987942833255,A,2018,2024,2025,0.95
stroll_2025_7,2025,7,stroll,aston_martin,15,9.747159271178749,A,2018,2024,2025,0.95
colapinto_2025_7,2025,7,colapinto,alpine,16,12.86961081543072,A,2018,2024,2025,0.95
bearman_2025_7,2025,7,bearman,haas,17,14.244197961429618,A,2018,2024,2025,0.95
bortoleto_2025_7,2025,7,bortoleto,sauber,18,14.50987049533281,A,2018,2024,2025,0.95
norris_2025_8,2025,8,norris,mclaren,1,2.3650138014695568,A,2018,2024,2025,0.95
leclerc_2025_8,2025,8,leclerc,ferrari,2,3.568647526815589,A,2018,2024,2025,0.95
piastri_2025_8,2025,8,piastri,mclaren,3,3.442833606348735,A,2018,2024,2025,0.95
max_verstappen_2025_8,2025,8,max_verstappen,red_bull,4,3.5523056200097543,A,2018,2024,2025,0.95
hamilton_2025_8,2025,8,hamilton,ferrari,5,4.682397474076962,A,2018,2024,2025,0.95
hadjar_2025_8,2025,8,hadjar,rb,6,8.08754776739056,A,2018,2024,2025,0.95
ocon_2025_8,2025,8,ocon,haas,7,10.108442844754041,A,2018,2024,2025,0.95
lawson_2025_8,2025,8,lawson,rb,8,10.238932840997538,A,2018,2024,2025,0.95
albon_2025_8,2025,8,albon,williams,9,9.420531401672186,A,2018,2024,2025,0.95
sainz_2025_8,2025,8,sainz,williams,10,10.293523099586615,A,2018,2024,2025,0.95
