number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
27,0.4899000973719323,0.6361361537710961,0.014023347876983906,3,333,0.002092279566427789,0.8544665228353294,0.9562119399013758,COMPLETE
28,0.4895111526254675,0.6853199355656282,0.013442572399881808,3,333,0.016600067691004305,0.8902109046846161,0.9610899567593586,COMPLETE
29,0.47151554106873594,0.6323880589311996,0.024522134326332903,6,402,0.09011857174765231,0.7169075788504791,0.8618961183936826,COMPLETE
30,0.4535495945276666,0.7550068790977359,0.21632462248901613,5,347,0.0017937215348040661,0.8702796725716319,0.9684629209730622,COMPLETE
31,0.48983138364535306,0.6853798015677439,0.01270488164058912,3,319,0.1004541398592117,0.9000811890969328,0.9465896951044118,COMPLETE
32,0.4899174619897547,0.7020676836266313,0.013379636034812022,3,320,0.10307149886212943,0.9065337805162125,0.9395490624408979,COMPLETE
33,0.48147471206647974,0.7151548401616351,0.014872106164314442,4,254,0.12287092506421139,0.8029243554538376,0.8957487780373554,COMPLETE
34,0.4917292724559209,0.62844307620934,0.01776632027265157,3,380,0.34716281121008646,0.9728366361296688,0.9943435384874543,COMPLETE
35,0.48385955893391003,0.6726022514248962,0.0173845684701743,4,376,0.3945109892915161,0.9821096507931216,0.9897324584983663,COMPLETE
36,0.4805719010635417,0.7060863865489546,0.025519036192080905,4,465,0.30069526992322754,0.9346469308680261,0.9987845796310766,COMPLETE
37,0.4808786462370931,0.6270070140459003,0.09454220267080943,3,421,0.34713866342252153,0.9982835861660031,0.8514107577606861,COMPLETE
38,0.47413095885522527,0.7699052055045049,0.031081113495502865,5,415,0.2277397839583219,0.8120151248686935,0.8869368062569293,COMPLETE
39,0.46728519054629813,0.6664954278491015,0.012217111051378071,8,259,0.15641262603201422,0.755132656756861,0.9310132466614629,COMPLETE
40,0.48626104674015663,0.6225820785348943,0.04667570619816256,3,388,0.45538737733790313,0.9121641319234888,0.9727748364282273,COMPLETE
41,0.4849839839444021,0.6421377530167776,0.021178500047741432,3,324,0.08091109365555814,0.8573683358696493,0.9569118488344712,COMPLETE
42,0.4882967340437719,0.6263171876463518,0.013072589414376244,4,356,0.0542371522663934,0.8484930087572546,0.96929071585783,COMPLETE
43,0.48601890573944473,0.6756476161384908,0.016054304981317734,3,442,0.34962613024442435,0.9348147867821018,0.9298515350320753,COMPLETE
44,0.4892442555797198,0.702304647626729,0.011944093868525123,3,318,0.05533150139351723,0.6973754741544905,0.9815209648916212,COMPLETE
45,0.4847251053055015,0.7337469482230826,0.010003495001169274,4,341,0.21963580900612684,0.8274300952951282,0.9476067931305374,COMPLETE
46,0.46344187620065436,0.8280998427268167,0.13440516622975235,3,369,0.144310294438674,0.9363043233164593,0.6169612157954633,COMPLETE
47,0.47229147608774696,0.6180710614949684,0.061197300668252616,5,236,0.0027675688993155367,0.7709620978109859,0.885575331878702,COMPLETE
48,0.4827335608687883,0.641905536469042,0.02182561354106167,4,303,0.9629494344363287,0.9996378241205418,0.912855695438054,COMPLETE
49,0.4818036801528763,0.79403794978724,0.016983230059779524,4,268,0.05755437480176714,0.8817890576961525,0.9593760808827776,COMPLETE
